signal_index,file_name,free_text_sensory,free_text_emotional,free_text_association
113,2411011811189.json,The sensation was a slow heartbeat,The sensation made me feel anxious.,The sensation reminded me of a heartbeat
113,2411011424189.json,The sensation is slow and there's a 1 second gap between two vibrations.,The sensation makes me feel active. ,The sensation reminds me of an alarm
113,2410301744189.json,The sensation is like a phone vibrating in your pocket.,The senation felt a bit fuzzy and it wad enjoyable.,"I have felt a similar sensation before, like a phone vibrating in my pocket and I pick it up while its vibrating."
113,2411011721189.json,The sensation felt like a heartbeat of some animal.,The sensation made me feel calm.,N/A
113,2411011630189.json,The senestion feels like a heartbeat,The sensation invokes the feeling of anxiety,The sensation reminds me of the moments before the results are announced
113,2411011525189.json,This signal feels like a heartbeat. It has two beats after each pause and is pretty slow ,It makes me feel comforted and calm ,It reminds me of a sonography wherein I could feel the heartbeat and sound 
113,2411011100189.json,the signal was slight buzz	,the signal gave a reassuring feeling	,the signal reminds me of a phone vibration upon receiving a message
113,2411051259189.json,Sensation is like a buzz notification inn your mobile which lasts for 1-2 seconds.,Sensation makes me alert or gets my attention instantly.,It reminds me of a mobile notification vibration or an alert
113,2411061548189.json,sensation is buzz		,sensation makes me feel greasy	,It reminds me of door bell ring
113,2411061645189.json,The sensation I felt was like a bumpy-feeling.,I could relate this to a pulse-check.,This sensation reminded me of me crashing any car in a video game.
114,2411011811189.json,The sensation is three continous buzzes which goes low-high-low,This sensation made me feel surprised,The sensation reminded me of a car honking
114,2411011424189.json,The sensation is a long buzz with very little gaps.,Te makes me feel anxious and feels like something urgent.,The sensation reminds me of getting late to an event.
114,2410301744189.json,"The sensation felt like a phone vibrating, with a long frequency.",The sensation made me feel a bit annoyed.,I have felt this sensation when an alarm went off and it was right next to my head.
114,2411011721189.json,The sensation was continuous and had few break-points.,This sensation made me feel alarmed and alerted. Some emotions that I can attach to it are that of panic.,The sensation reminded me of the fire alarm.
114,2411011630189.json,Sensation feels like slow continous vibrations,The sensation feels like slowed anxiety and confusion,The sensation reminds me when I was running across a field
114,2411011525189.json,This signal feels more panicy and fast. It has quick vibrations which get quicker by time and suddenly slow down. ,It makes me feel the need to do things very quickly and a little anxious. ,It reminds me of a gaming console racing car game. 
114,2411011100189.json,the vibrations were long in duration with changes in intensity		the ,the sensation gave a pleasent feeling	,it reminds me of vibrations felt when playing a musical instrument
114,2411051259189.json,this sensation is like a fast wave which lasts for 3-4 seconds ,This sensation makes me happy or ennjoyable,It reminds me of a wave travelling fast
114,2411061548189.json,sensation is like alarm	,sensation makes me feel like i am in a moderate panic state,It reminds me of phone vibration to get attentive
114,2411061645189.json,This sensation was like a buzz.,It makes me feel like a harsh vibration.,It reminds me of an Alert.
115,2411011811189.json,The sensation was continous wave which increases and decreases and has a pause in the middle,The sensation made me feel disconcerted,It reminds me of a vehicle moving and stopping
115,2411011424189.json,The sensation is steady and even.,The sensation makes me feel calm and the discomfort when it stops.,The sensation reminds me of a massager.
115,2410301744189.json,"The sensation felt like the waves of ocean, increasing and decreasing slowly and steadily.",This sensation made me feel relaxed.,This sensation reminds me of the standing near an ocean while the waves hit your feet.
115,2411011721189.json,The sensation was pretty continuous.,The sensation made me feel nothing apart from reassurance in a way. ,"It reminds me of the operation of an autoclave machine, upon its on set."
115,2411011630189.json,Sensation feels like tingling,The Sensation invokes a mix of happiness and anxiety,The sensation reminds me of when my brother was born
115,2411011525189.json,"This vibration begins slowly maintaining the speed, does not feel agressive. ","This vibration made me feel good, it had the perfect buzz which would soothe me. ",It reminds me of a massager used for massaging legs where it starts slowly and maintains momentum. 
115,2411011100189.json,the intensity of the vibration kept slowly increasing		,it gave a relaxing feeling,the vibrations reminded me of those felt on a video game controller
115,2411051259189.json,This sensation is more like a motor sound of a rice mill	,This sensation makes me warm and comforted	,This sensation reminds me of motor of a mill factory
115,2411061548189.json,Sensation is in a soothing way to give a relaxed feeling 	,It kind of makes me relax like a head massage procedure,It reminds me of gettings head massages
115,2411061645189.json,"This sensation makes me feel like I'm taking a massage, maybe. It has a constant waves which are pleasurable, indeed.",The vibrations were soft to feel and It was relaxing.,I felt like I was holding some accu-puncture product for muscle relaxation.
116,2411011811189.json,The sensation starts out loud and fades away,The sensation made me feel calm,This sensation reminded me of hitting some metal with a hammer
116,2411011424189.json,The sensation starts with a very strong buzz and the mellows down.,This sensation makes me feel discomfort due to it's inconsistency.,N.A.
116,2410301744189.json,The sensation feels like a big wave slamming your body.,This sensation makes me feel anxious.,This sensation reminds me of standing in front of a big wave while it's about to hit me.
116,2411011721189.json,The sensation started out slow then picked up momentum and repeated the same pattern twice.,The sensation made me feel calm first and excited in a way later when it amplified.,This sensation reminded me of my old phone's ringtone.
116,2411011630189.json,The sensation feels like a fast heartbeat,The sensation invoke mixed sadness and anxiety,Sensation reminds me of griping the ball before the last throw
